Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
88872,552,517.8,517.4,629,536.4,740,704,781,766.4,544.7,742.2,878.2,28494.5333,28844.4742
117752,499.1,619.4,603.2,624.2,886.6,757.1,754.5,821.8,817,877.1,819.1,832.9,23526.4587,28861.3061
118450,806.2,821.9,841.9,951.5,"1,141.30","1,012.70",982.6,"1,092.40","1,081.50","1,119.70","1,039.80",938.4,23600.1092,28912.2563
89689,0,0,0,0,0,0,0,0,0,0,0,0,28980.7238,28913.68
119744,419,640.9,507.7,573.7,764.9,647.7,686.1,816.9,828.8,817.7,852.7,783.4,22987.9054,28935.0911
89692,332,310.9,327.7,392.1,435,446.3,416.9,415.4,407.3,436.2,422,379.9,29009.3795,28943.7001
117755,671.5,784.2,807,868.4,"1,094.00",949.6,956.1,"1,033.70","1,003.50","1,068.70",985.6,"1,006.30",23558.3708,28950.8871
119745,687.6,671.9,549.6,611.2,731.9,668.7,787.9,756.5,647.4,761.8,853.2,844.6,22919.1176,28957.6557
119749,530.1,604.4,588.2,700.2,810.3,683,767.6,857,647.4,752.1,907.1,753.8,23048.7581,28991.761
89673,829.7,478.7,616.6,781.4,769.9,996.8,913.1,920.3,865.7,792.7,819.6,675.8,28981.0774,29012.4224
117526,525.8,513.6,282.2,455.6,434.6,401.6,376.5,457.6,439.2,475.2,513,494.2,22930.4848,29014.2262
117756,600.4,589.3,573.2,609.2,802.5,707.5,611.2,715.5,766.7,791.6,725.6,735.6,23568.4181,29027.5756
118571,449.2,537.6,473.2,496.8,674.7,587.5,658.9,678.8,615.9,656.2,749.7,687.3,22906.7626,29029.8394
118574,0,0,0,0,0,0,0,0,0,0,0,0,22665.6456,29039.4457
117757,655,810.6,819.6,858.9,977.6,840,782.7,844.6,799.3,858.6,"1,214.00","1,016.60",23484.3592,29041.4834
118575,0,0,0,0,0,0,0,0,0,0,0,0,22657.7964,29043.0197
118576,0,0,0,0,0,0,0,0,0,0,0,0,22649.627,29046.4573
